;TPLName;Familia;Alpine;Seed.mass;Dormancy;Species;Genus;Family
725;Thlaspi caerulescens;Brassicaceae;NA;NA;NA;;;1.00
726;Thlaspi orbiculatum;Brassicaceae;NA;NA;NA;;;1.00
727;Tibetia himalaica;Leguminosae;Strict;NA;PY;;;0.97
728;Tofieldia pusilla;Tofieldiaceae;NA;NA;NA;;;0.27
729;Tongoloa elata;Apiaceae;Generalist;NA;MPD;;;0.06
730;Tongoloa gracilis;Apiaceae;Generalist;NA;NA;;;0.06
731;Trichophorum cespitosum;Cyperaceae;NA;NA;NA;;;0.11
732;Trichophorum distigmaticum;Cyperaceae;Generalist;NA;PD;;;0.11
733;Trichophorum pumilum;Cyperaceae;Generalist;0.65;NA;;;0.11
734;Trifolium alpinum;Leguminosae;NA;NA;PY;;0.99;0.97
735;Trifolium badium;Leguminosae;Strict;0.75;NA;;0.99;0.97
736;Trifolium pallescens;Leguminosae;Strict;0.62;NA;;0.99;0.97
737;Trifolium polyphyllum;Leguminosae;Strict;NA;NA;;0.99;0.97
738;Trifolium pratense;Leguminosae;Generalist;1.414;PY;;0.99;0.97
739;Trifolium thalii;Leguminosae;Strict;1.2688;NA;;0.99;0.97
740;Triglochin maritima;Juncaginaceae;Generalist;0.7232;PD;;1.00;1.00
741;Triglochin palustris;Juncaginaceae;Generalist;1.761;PD;;1.00;1.00
742;Trisetum clarkei;Poaceae;Generalist;NA;PD;;;0.20
743;Trisetum spicatum;Poaceae;Generalist;0.417;NA;0.04;0.04;0.20
744;Tristagma bivalve;Amaryllidaceae;Generalist;NA;NA;;;0.30
745;Trollius altissimus;Ranunculaceae;NA;NA;NA;;0.07;0.04
746;Trollius europaeus;Ranunculaceae;Generalist;0.9868;MPD;;0.07;0.04
747;Trollius farreri;Ranunculaceae;Strict;NA;MPD;;0.07;0.04
748;Urtica hyperborea;Urticaceae;Strict;NA;NA;;0.76;0.79
749;Verbascum orientale;Scrophulariaceae;NA;NA;NA;;0.42;0.47
750;Veronica allionii;Plantaginaceae;Strict;NA;NA;;0.34;0.48
751;Veronica alpina;Plantaginaceae;Strict;0.049;PD;;0.34;0.48
752;Veronica aphylla;Plantaginaceae;Strict;NA;PD;;0.34;0.48
753;Veronica bellidioides;Plantaginaceae;Strict;0.11;PD;;0.34;0.48
754;Veronica ciliata;Plantaginaceae;Generalist;NA;PD;;0.34;0.48
755;Veronica eriogyne;Plantaginaceae;Generalist;NA;PD;;0.34;0.48
756;Veronica fruticans;Plantaginaceae;Strict;0.603;PD;;0.34;0.48
757;Veronica gentianoides;Plantaginaceae;NA;NA;NA;;0.34;0.48
758;Veronica perfoliata;Plantaginaceae;Generalist;0.3;NA;;0.34;0.48
759;Veronica szechuanica;Plantaginaceae;Generalist;NA;PD;;0.34;0.48
760;Veronica vandellioides;Plantaginaceae;Generalist;NA;NA;;0.34;0.48
761;Vicia cusnae;Leguminosae;NA;NA;NA;;0.97;0.97
762;Vicia multicaulis;Leguminosae;Generalist;NA;NA;;0.97;0.97
763;Vicia orobus;Leguminosae;NA;NA;NA;;0.97;0.97
764;Viola betonicifolia;Violaceae;Generalist;1.37;NA;;0.61;0.55
765;Viola comollia;Violaceae;Strict;0.59;NA;;0.61;0.55
766;Viola lutea;Violaceae;NA;NA;PD;;0.61;0.55
767;Wahlenbergia ceracea;Campanulaceae;Generalist;0.025;NA;;;0.22
768;Wahlenbergia gloriosa;Campanulaceae;Generalist;0.046;NA;;;0.22
769;Xerochrysum subundulatum;Compositae;Generalist;0.5958;NA;;;1.00
770;Zygophyllum fabago;Zygophyllaceae;NA;NA;PD;;;0.73
